store_name,owner_name,contact_number,address,city,website,google_maps_url
Prakash Marbles,,09928010921,"Plot No.98,Lajpat Nagar, Mahal Rd, Braj Puri, Vidhyadhar Nagar, Sin Ka Barah, Jagatpura, Jaipur, Rajasthan 302017",Jaipur,4.9,26,Granite supplier,,https://www.google.com/maps/place/Prakash+Marbles/data=!4m7!3m6!1s0x396dc9d180def0bf:0x923cae96cf90f1dd!8m2!3d26.8228897!4d75.8475973!16s%2Fg%2F11g69y_x84!19sChIJv_DegNHJbTkR3fGQz5auPJI?authuser=0&hl=en&rclk=1
Granite Palace,,08619989282,"Hans Vihar, Plot no. 98, Vande Mataram Marg, near family hospital and front of indian petrol pump, Manyawas, Mansarovar, Jaipur, Rajasthan 302020",Jaipur,4.3,4,Granite supplier,,https://www.google.com/maps/place/Granite+Palace/data=!4m7!3m6!1s0x396db55066685ec5:0x2c8ec0123b74a96c!8m2!3d26.8572606!4d75.7371263!16s%2Fg%2F11ql_2s7h3!19sChIJxV5oZlC1bTkRbKl0OxLAjiw?authuser=0&hl=en&rclk=1
Balaji Tiles & Granite - Best Tiles and Granite Supplier in Jaipur,,08209743802,"Rajasthan Girls Collage, Charan Nadi 2nd, Kaishav Nagar, Jaipur, Rajasthan 302039",Jaipur,5.0,4,Granite supplier,,https://www.google.com/maps/place/Balaji+Tiles+%26+Granite+-+Best+Tiles+and+Granite+Supplier+in+Jaipur/data=!4m7!3m6!1s0x396db3432a95fcd7:0x7523942658e4eecb!8m2!3d26.9810404!4d75.7567805!16s%2Fg%2F11pzyfq6n1!19sChIJ1_yVKkOzbTkRy-7kWCaUI3U?authuser=0&hl=en&rclk=1
Jaipur Tiles,,09694317171,"Kalwar, Rajasthan 302044",Jaipur,4.5,38,Tile store,https://jaipurtilesandgranite.com/,https://www.google.com/maps/place/Jaipur+Tiles/data=!4m7!3m6!1s0x396c4d005eae0773:0x6445e93422afb4d1!8m2!3d26.9614302!4d75.6682823!16s%2Fg%2F11wxctsgvf!19sChIJcweuXgBNbDkR0bSvIjTpRWQ?authuser=0&hl=en&rclk=1
SHIVMAHIMA TILES AND GRANITES,,09785662244,"116, Mod, opp. Indian Oil Petrol Pump, near Aurobindo School, Sirsi, Jaipur, Rajasthan 302012",Jaipur,5.0,9,Tile store,,https://www.google.com/maps/place/SHIVMAHIMA+TILES+AND+GRANITES/data=!4m7!3m6!1s0x396c4d004c948403:0xcdd30d63082a2cfd!8m2!3d26.9215484!4d75.6823605!16s%2Fg%2F11ml03g_fd!19sChIJA4SUTABNbDkR_SwqCGMN080?authuser=0&hl=en&rclk=1
Swastik Stones (Granite stone showroom),,09314510275,"B-18, Govind Marg, Adarsh Nagar, Jaipur, Rajasthan 302004",Jaipur,4.8,6,Granite supplier,http://facebook.com/swastikstonesjaipur,https://www.google.com/maps/place/Swastik+Stones+%28Granite+stone+showroom%29/data=!4m7!3m6!1s0x396db6c1f32e6fd3:0x4f133bd18e0caafd!8m2!3d26.898499!4d75.8328159!16s%2Fg%2F1tjgm_mx!19sChIJ028u88G2bTkR_aoMjtE7E08?authuser=0&hl=en&rclk=1
Gupta Marble and granites,,09414022886,"287, Ajmer Rd, Heera Nagar, Tagore Nagar, Jaipur, Rajasthan 302021",Jaipur,5.0,1,Granite supplier,,https://www.google.com/maps/place/Gupta+Marble+and+granites/data=!4m7!3m6!1s0x396db5560ae1a9df:0xc31eb7bc3bdea26c!8m2!3d26.8904014!4d75.7393716!16s%2Fg%2F11ht63v4gv!19sChIJ36nhCla1bTkRbKLeO7y3HsM?authuser=0&hl=en&rclk=1
Kanika marbles Granite and Tile,,09414888213,"Gokulpura , kalwar road , jhotwara Gokulpura road, Kalwar Rd, Jaipur, Rajasthan 302012",Jaipur,5.0,6,Marble supplier,,https://www.google.com/maps/place/Kanika+marbles+Granite+and+Tile/data=!4m7!3m6!1s0x396db32a2aec4295:0xa055f65dec1a40af!8m2!3d26.9408709!4d75.7208134!16s%2Fg%2F11ft5ymvvx!19sChIJlULsKiqzbTkRr0Aa7F32VaA?authuser=0&hl=en&rclk=1
Shree Avtar Marbles & Granite - Best Marbles and granite in Jaipur,,09314429397,"E-210, Rd Number 6, Vishwakarma Industrial Area, Jaipur, Rajasthan 302013",Jaipur,5.0,4,Granite supplier,,https://www.google.com/maps/place/Shree+Avtar+Marbles+%26+Granite+-+Best+Marbles+and+granite+in+Jaipur/data=!4m7!3m6!1s0x396db3b2fed31a05:0x81aa366300e8b05e!8m2!3d26.9825738!4d75.7834509!16s%2Fg%2F11gy2j3kyq!19sChIJBRrT_rKzbTkRXrDoAGM2qoE?authuser=0&hl=en&rclk=1
MANGALAM GRANITE,,08302458226,"257, Dalda Factory Rd, Mahaveer Nagar 2, Maharani Farm, Gayatri Nagar B, Durgapura, Jaipur, Rajasthan 302018",Jaipur,5.0,6,Granite supplier,,https://www.google.com/maps/place/MANGALAM+GRANITE/data=!4m7!3m6!1s0x396db5049c8c81f5:0x7beb44a2b63d3ac7!8m2!3d26.851765!4d75.7789649!16s%2Fg%2F11rfbg7hq3!19sChIJ9YGMnAS1bTkRxzo9tqJE63s?authuser=0&hl=en&rclk=1
